step,env_id,dist,bearing_rad,bearing_deg,follow_ok,collision,done,cmd_y,cmd_omega,progress
41,0,1.5662803649902344,0.05378992110490799,3.0819354596529016,0,0,0,0.4523690938949585,-0.07530588656663895,2.099998950958252
42,0,1.5797076225280762,0.062467578798532486,3.5791286215568134,0,0,0,0.4628615379333496,-0.08745460957288742,2.159998893737793
43,0,1.5929661989212036,0.07824220508337021,4.482948131074148,0,0,0,0.4729216694831848,-0.10953908413648605,2.159998893737793
44,0,1.5445300340652466,0.06813806295394897,3.904023431457983,0,0,0,0.4346131682395935,-0.09539328515529633,2.219998836517334
45,0,1.5493091344833374,0.0712720975279808,4.083590385398088,0,0,0,0.43833163380622864,-0.09978093206882477,2.279998779296875
46,0,1.564542531967163,0.07635744661092758,4.374959425201662,0,0,0,0.45031803846359253,-0.1069004237651825,2.339998722076416
47,0,1.5791882276535034,0.08759447932243347,5.0187939738213965,0,0,0,0.46157413721084595,-0.12263227254152298,2.399998664855957
48,0,1.5898382663726807,0.10233958065509796,5.863626048675798,0,0,0,0.4694017171859741,-0.1432754099369049,2.459998607635498
49,0,1.5976003408432007,0.08511428534984589,4.876689326818343,0,0,0,0.4763496220111847,-0.119159996509552,2.459998607635498
50,0,1.5515055656433105,0.07735897600650787,4.432342832626701,0,0,0,0.4398849308490753,-0.10830256342887878,2.519998550415039
51,0,1.5614097118377686,0.08283822238445282,4.7462805249952895,0,0,0,0.44758763909339905,-0.11597350984811783,2.57999849319458
52,0,1.5672286748886108,0.07600703835487366,4.3548825110232325,0,0,0,0.4524728059768677,-0.10640985518693924,2.639998435974121
53,0,1.5815385580062866,0.0731499195098877,4.191181659638245,0,0,0,0.46398669481277466,-0.10240988433361053,2.699998378753662
54,0,1.5954731702804565,0.07084111124277115,4.058896690227553,0,0,0,0.4751836955547333,-0.09917755424976349,2.759998321533203
55,0,1.6053301095962524,0.061441197991371155,3.5203213331332384,0,0,0,0.48335033655166626,-0.0860176756978035,2.759998321533203
56,0,1.5492240190505981,0.04911176860332489,2.813897065393622,0,0,0,0.43884944915771484,-0.06875647604465485,2.819998264312744
57,0,1.559885859489441,0.03316445276141167,1.900183173089877,0,0,0,0.4476623833179474,-0.046430233865976334,2.879998207092285
58,0,1.5657042264938354,0.007487176917493343,0.428983637840138,0,0,0,0.4525507092475891,-0.01048204768449068,2.939998149871826
59,0,1.571732997894287,-0.009454372338950634,-0.5416956329671,0,0,0,0.4573659598827362,0.013236121274530888,2.999998092651367
60,0,1.5726423263549805,-0.02080354280769825,-1.1919552018008486,0,0,0,0.45801475644111633,0.02912496030330658,3.059998035430908
61,0,1.5783166885375977,-0.015633482486009598,-0.89573256554004,0,0,0,0.4625968337059021,0.021886849775910378,3.059998035430908
62,0,1.5302133560180664,-0.014634878374636173,-0.8385167645539308,0,0,0,0.4241252839565277,0.020488817244768143,3.119997978210449
63,0,1.5292940139770508,-0.030746091157197952,-1.761621259831944,0,0,0,0.42323508858680725,0.04304454103112221,3.1799979209899902
64,0,1.5362052917480469,-0.05841652303934097,-3.347020223982974,0,0,0,0.4282325208187103,0.08178313076496124,3.2399978637695312
65,0,1.5427111387252808,-0.07418542355298996,-4.250511670976737,0,0,0,0.43297475576400757,0.10385958850383759,3.2999978065490723
66,0,1.5469824075698853,-0.07736770063638687,-4.432842717096581,0,0,0,0.43627694249153137,0.10831478238105774,3.3599977493286133
67,0,1.547716498374939,-0.08732205629348755,-5.003185284020625,0,0,0,0.43650367856025696,0.12225087732076645,3.3599977493286133
68,0,1.5029977560043335,-0.06970857828855515,-3.9940073317914933,0,0,0,0.401420921087265,0.09759201109409332,3.4199976921081543
69,0,1.5148062705993652,-0.0742277130484581,-4.252934680584799,0,0,0,0.4107109606266022,0.10391879826784134,3.4799976348876953
70,0,1.5213018655776978,-0.07614943385124207,-4.363041171986812,0,0,0,0.4158329367637634,0.10660920292139053,3.5399975776672363
71,0,1.5297462940216064,-0.08828525990247726,-5.058372785627505,0,0,0,0.4221464991569519,0.12359936535358429,3.5999975204467773
72,0,1.5450928211212158,-0.08266846835613251,-4.736554335617191,0,0,0,0.43458500504493713,0.11573586612939835,3.6599974632263184
73,0,1.554567813873291,-0.07488132268190384,-4.290383754030333,0,0,0,0.44241100549697876,0.10483384877443314,3.6599974632263184
74,0,1.5002871751785278,-0.055925484746694565,-3.2042942432088606,0,0,0,0.39960402250289917,0.07829567790031433,3.7199974060058594
75,0,1.507916808128357,-0.045894574373960495,-2.6295654141771987,0,0,0,0.4059055745601654,0.06425240635871887,3.7799973487854004
76,0,1.5195249319076538,-0.033568125218153,-1.9233119011668327,0,0,0,0.41538578271865845,0.0469953753054142,3.8399972915649414
77,0,1.530648112297058,-0.00715383468195796,-0.40988453461050467,0,0,0,0.42450764775276184,0.010015368461608887,3.8999972343444824
78,0,1.5506806373596191,-0.010546230711042881,-0.6042545095140103,0,0,0,0.4405200183391571,0.014764722436666489,3.9599971771240234
79,0,1.572555422782898,0.0036726619582623243,0.2104280297866833,0,0,0,0.458041250705719,-0.005141726695001125,3.9599971771240234
80,0,1.5299938917160034,-0.0027562619652599096,-0.15792217784182674,0,0,0,0.4239934980869293,0.0038587667513638735,4.0199971199035645
81,0,1.5414435863494873,-0.014195355586707592,-0.8133339638057996,0,0,0,0.4331112504005432,0.019873498007655144,4.0799970626831055
82,0,1.592476487159729,0.07567703723907471,4.335974839853344,0,0,0,0.47262459993362427,-0.10594787448644638,4.1399970054626465
83,0,1.6754554510116577,0.10084652155637741,5.778080063755504,0,0,0,0.5376189351081848,-0.14118513464927673,4.1999969482421875
84,0,1.727926254272461,0.08214401453733444,4.706505345250544,0,0,0,0.5803773999214172,-0.1150016188621521,4.2599968910217285
85,0,1.7349319458007812,0.06010213494300842,3.4435986719601313,0,0,0,0.5868839621543884,-0.0841430127620697,4.2599968910217285
86,0,1.6818443536758423,0.05053635314106941,2.895519746965978,0,0,0,0.5447790622711182,-0.070750892162323,4.3199968338012695
87,0,1.6863033771514893,0.10498698800802231,6.015311316650264,0,0,0,0.5460196137428284,-0.14698177576065063,4.3799967765808105
88,0,1.6892062425613403,0.214105486869812,12.267340768233892,0,0,0,0.538775622844696,-0.29974767565727234,4.439996719360352
89,0,1.690640926361084,0.16519680619239807,9.465079783865033,0,0,0,0.5449908375740051,-0.23127548396587372,4.499996662139893
90,0,1.7091145515441895,0.16587693989276886,9.504048574400894,0,0,0,0.5595049858093262,-0.23222771286964417,4.559996604919434
91,0,1.712199091911316,0.1858358383178711,10.647609217889558,0,1,0,0.5599492788314819,-0.2601701319217682,4.559996604919434
92,0,1.6411241292953491,0.2127263993024826,12.188324871046953,0,0,0,0.5013380646705627,-0.2978169620037079,4.619996547698975
93,0,1.6263434886932373,0.21294690668582916,12.200959013464184,0,0,0,0.48975667357444763,-0.29812565445899963,4.679996490478516
94,0,1.6344157457351685,0.263897567987442,15.12021686944713,0,0,0,0.4899621605873108,-0.36945658922195435,4.739996433258057
95,0,1.6408085823059082,0.316133588552475,18.113120386382093,0,1,0,0.4872424304485321,-0.4425870180130005,4.799996376037598
96,0,1.6389209032058716,0.32742032408714294,18.7598026969989,0,0,0,0.4839826226234436,-0.45838844776153564,4.859996318817139
97,0,1.6962593793869019,0.27265626192092896,15.622053065882769,0,1,0,0.536431074142456,-0.3817187547683716,4.859996318817139
98,0,1.7176930904388428,0.2701631486415863,15.479208197128415,0,0,0,0.5533283948898315,-0.37822839617729187,4.91999626159668
99,0,1.763206958770752,0.25187015533447266,14.43109688596974,0,0,0,0.5913010835647583,-0.35261815786361694,4.979996204376221
100,0,1.7875912189483643,0.2893930971622467,16.581003087616097,0,1,0,0.6038728356361389,-0.40515032410621643,5.039996147155762
101,0,1.8353108167648315,0.3445780575275421,19.74286840914425,0,1,0,0.6289677023887634,-0.48240926861763,5.099996089935303
102,0,1.883342981338501,0.33552706241607666,19.22428458886374,0,1,0,0.6672680377960205,-0.4697378873825073,5.159996032714844
103,0,1.922182559967041,0.27532368898391724,15.774885378750975,0,1,0,0.7099605202674866,-0.38545316457748413,5.159996032714844
104,0,1.9126293659210205,0.295911580324173,16.954484661621564,0,1,0,0.6983708143234253,-0.41427621245384216,5.219995975494385
105,0,1.9751787185668945,0.2863665223121643,16.407593122325935,0,1,0,0.7483728528022766,-0.4009131193161011,5.279995918273926
106,0,2.0068094730377197,0.281900554895401,16.151712037902456,0,1,0,0.773655354976654,-0.3946607708930969,5.339995861053467
107,0,2.071185350418091,0.29934725165367126,17.151334128595916,0,1,0,0.8188391327857971,-0.41908615827560425,5.399995803833008
108,0,2.1301698684692383,0.2956085503101349,16.937122320751392,0,1,0,0.8649190068244934,-0.41385191679000854,5.459995746612549
109,0,2.1727797985076904,0.3057505488395691,17.51821603231586,0,1,0,0.8947102427482605,-0.4280507564544678,5.459995746612549
110,0,2.126864194869995,0.31501293182373047,18.048911485542096,0,1,0,0.8571310639381409,-0.44101810455322266,5.51999568939209
111,0,2.1836259365081787,0.32488808035850525,18.61471581864949,0,1,0,0.8973650336265564,-0.45484331250190735,5.579995632171631
112,0,2.248173952102661,0.331381618976593,18.98676817557113,0,1,0,0.9442123174667358,-0.4639342725276947,5.639995574951172
113,0,2.293579339981079,0.33611780405044556,19.258131591295736,0,1,0,0.9769548177719116,-0.47056493163108826,5.699995517730713
114,0,2.319505453109741,0.3520505726337433,20.17101198707733,0,1,0,0.0,-0.4928708076477051,5.759995460510254
115,0,2.364182710647583,0.3549862504005432,20.339213933125354,0,1,0,0.0,-0.496980756521225,5.759995460510254
116,0,2.377103805541992,0.3193681240081787,18.29844561667934,0,1,0,0.0,-0.44711536169052124,5.819995403289795
117,0,2.425159215927124,0.3387676477432251,19.409956451261365,0,1,0,0.0,-0.4742746949195862,5.879995346069336
118,0,2.472581624984741,0.32690703868865967,18.730393609980116,0,0,0,0.0,-0.45766979455947876,5.939995288848877
119,0,2.526718854904175,0.3359512388706207,19.248588109477936,0,1,0,0.0,-0.47033172845840454,5.999995231628418
120,0,2.57358980178833,0.36686983704566956,21.020093293369126,0,1,0,0.0,-0.5136178135871887,6.059995174407959
121,0,2.644528388977051,0.3641332685947418,20.863299470782312,0,1,0,0.0,-0.5097865462303162,6.059995174407959
122,0,2.6383378505706787,0.3587995171546936,20.557698024295725,0,1,0,0.0,-0.5023193359375,6.1199951171875
123,0,2.6712212562561035,0.3608562648296356,20.675540985593244,0,1,0,0.0,-0.5051987767219543,6.179995059967041
124,0,2.7350335121154785,0.38158491253852844,21.86320501432633,0,1,0,0.0,-0.5342188477516174,6.239995002746582
125,0,2.7934038639068604,0.3674112856388092,21.05111601257932,0,1,0,0.0,-0.5143758058547974,6.299994945526123
126,0,2.8515124320983887,0.38427966833114624,22.01760314806176,0,1,0,0.0,-0.5379915237426758,6.359994888305664
127,0,2.914388656616211,0.36431068181991577,20.87346449981458,0,1,0,0.0,-0.5100349187850952,6.359994888305664
128,0,2.906183958053589,0.3633858859539032,20.820477599780915,0,1,0,0.0,-0.508740246295929,6.419994831085205
