rank,bag_name,event_start_rel_s,event_end_rel_s,window_start_rel_s,window_end_rel_s,paper_eligible,score,pre_risk,event_peak_risk,post_risk,risk_rise,risk_recovery,pre_lateral,event_lateral_p90,post_lateral,lateral_increase,event_forward,event_delta_y_w,moving_fraction,reconstruction_error_max
1,pcr_real_20260618_143745.bag,121.18219375610352,122.09208273887634,118.2842583656311,126.0861542224884,False,7.937835224345326,0.04981446824967861,0.7302563786506653,0.05692308023571968,0.6804419104009867,0.6733332984149456,0.19065000116825104,0.23984000235795974,0.1808999925851822,0.049190001189708704,0.5280699968338013,0.03899749517440796,1.0,5.066394803687757e-08
2,pcr_real_20260618_143745.bag,116.988529920578,118.2842583656311,114.08686184883118,122.28355836868286,True,7.29577499596136,0.0531441755592823,0.6231794953346252,0.10122869908809662,0.5700353197753429,0.5219507962465286,0.19300000369548798,0.2806699931621552,0.18709999322891235,0.08766998946666721,0.4839785673788616,0.058086081913539346,1.0,5.1781535170825066e-08
3,pcr_avoid_intention_debug2.bag,65.25088405609131,65.84686970710754,62.25549244880676,69.75738978385925,False,6.9070588796466055,0.07001350820064545,0.6756128072738647,0.0005931658088229597,0.6055992990732193,0.6750196414650418,0.1362999975681305,0.20000000298023224,0.12370000034570694,0.06370000541210175,0.08755714393087796,0.04575648307800294,1.0,5.8300793193133416e-08
4,pcr_avoid_intention_debug2.bag,34.36052584648132,38.4453809261322,31.36853790283203,39.554569721221924,False,6.507170510522666,0.1052335798740387,0.7322636246681213,0.03466074354946613,0.6270300447940826,0.6976028811186552,0.18050000071525574,0.20000000298023224,0.03839999996125698,0.0195000022649765,0.22012381038318077,0.05085370370319912,1.0,5.066394803687757e-08
5,pcr_real_20260618_154442.bag,86.11303448677063,87.21675825119019,83.21801543235779,91.20616793632507,False,6.495155009130638,0.1328204870223999,0.6994871497154236,0.015864044427871704,0.5666666626930237,0.6836231052875519,0.23799999803304672,0.24879999905824662,0.22259999811649323,0.010800001025199901,0.3140833315749963,0.059587532281875605,1.0,5.4016709327697754e-08
6,pcr_real_20260618_143745.bag,81.8832573890686,87.37832403182983,80.77333474159241,91.37402129173279,True,6.110572519259794,0.2251281440258026,0.6964102387428284,0.39192304015159607,0.47128209471702576,0.3044871985912323,0.19955000281333923,0.28265000879764557,0.19419999420642853,0.08310000598430634,0.5864196451646941,0.0702246314712933,1.0,5.885958664908486e-08
7,pcr_avoid_intention_debug3.bag,185.99352526664734,191.8066635131836,183.01240372657776,193.08967399597168,False,6.095221360967006,0.23540358245372772,0.7254164218902588,0.02243513334542513,0.49001283943653107,0.7029812885448337,0.1671999990940094,0.2130400061607361,0.0778999999165535,0.045840007066726696,0.11107796695383297,0.0493053250393625,1.0,6.109476091697985e-08
8,pcr_real_20260618_143745.bag,32.58681011199951,35.88732433319092,29.593730449676514,39.879759788513184,False,6.06730314913918,0.3516922891139984,0.7420512437820435,0.14346149563789368,0.39035895466804504,0.5985897481441498,0.19769999384880066,0.22393999993801114,0.19300000369548798,0.026240006089210482,0.5916794117759255,0.05994348490939421,1.0,5.81145286338014e-08
9,pcr_avoid_intention_debug6.bag,37.29540801048279,38.016955852508545,36.39673709869385,41.9995493888855,False,5.914921701839194,0.0008694271091371775,0.6385429501533508,0.3776199221611023,0.6376735230442137,0.26092302799224854,0.10360000282526016,0.21354999989271164,0.16439999639987946,0.10994999706745148,0.057912500109523535,0.04977900087833405,1.0,5.364418032005602e-08
10,pcr_avoid_intention_debug4.bag,57.40911293029785,59.0104079246521,54.49641823768616,60.90528416633606,False,5.703089689854396,0.00038500112714245915,0.7264106869697571,0.5718390643596649,0.7260256858426146,0.15457162261009216,0.11140000075101852,0.1504599988460541,0.20890000462532043,0.039059998095035575,0.45158235465779023,0.06655669843449312,1.0,5.5134296350622947e-08
