time_s,stamp_s,risk_F,risk_A,front_distance_risk,conflict_score,high_risk_conflict,y,w,signed_w_active,delta_y_r,delta_y_w,y_risk,y_eff,y_eff_reconstructed,y_eff_reconstruction_abs_error,cmd_safe_x,cmd_safe_x_abs,cmd_safe_x_abs_pre_conflict_baseline,cmd_safe_x_abs_delta_from_pre_conflict,cmd_safe_y,cmd_safe_yaw,target_valid,depth_invalid,safety_clear,risk_source_real
0.0,1781764779.5652006,0.1087178960442543,0.0,0.1087178960442543,0.05435894802212715,0.0,0.6600804328918457,0.6016436815261841,0.20328736305236816,-0.016307684406638146,0.060986208915710445,0.6437727484852076,0.7047589421272278,0.7047589574009181,1.527369031251169e-08,-0.19709999859333038,0.19709999859333038,0.1895500048995018,0.007549993693828583,0.704800009727478,-0.33899998664855957,1.0,0.0,1.0,1.0
0.0903775691986084,1781764779.6555781,0.08153842389583588,0.0,0.012820439413189888,0.04076921194791794,0.0,0.6599258780479431,0.6015656590461731,0.2031313180923462,-0.012230763584375382,0.06093939542770385,0.6476951144635678,0.7086344957351685,0.7086345098912716,1.4156103178564194e-08,-0.19449999928474426,0.19449999928474426,0.1895500048995018,0.004949994385242462,0.7085999846458435,-0.3407999873161316,1.0,0.0,1.0,1.0
0.19919228553771973,1781764779.7643929,0.06115381792187691,0.0,0.017948640510439873,0.030576908960938454,0.0,0.6598740220069885,0.6015019416809082,0.2030038833618164,-0.009173072688281535,0.06090116500854492,0.650700949318707,0.7116020917892456,0.711602114327252,2.25380063501035e-08,-0.19439999759197235,0.19439999759197235,0.1895500048995018,0.0048499926924705505,0.7116000056266785,-0.34220001101493835,1.0,0.0,1.0,1.0
0.28533196449279785,1781764779.8505325,0.045865364372730255,0.0,0.032820481806993484,0.022932682186365128,0.0,0.6595128774642944,0.6011389493942261,0.20227789878845215,-0.006879804655909538,0.060683369636535645,0.6526330728083849,0.7133164405822754,0.7133164424449205,1.862645149230957e-09,-0.1941000074148178,0.1941000074148178,0.1895500048995018,0.0045500025153160095,0.7132999897003174,-0.34299999475479126,1.0,0.0,1.0,1.0
0.3894507884979248,1781764779.9546514,0.03439902514219284,0.0,0.0,0.01719951257109642,0.0,0.6599984169006348,0.60152667760849,0.20305335521697998,-0.005159853771328926,0.060916006565093994,0.6548385631293059,0.7157545685768127,0.7157545696943999,1.1175871339474952e-09,-0.19220000505447388,0.19220000505447388,0.1895500048995018,0.0026500001549720764,0.7157999873161316,-0.3440999984741211,1.0,0.0,1.0,1.0
0.5071201324462891,1781764780.0723207,0.0633845329284668,0.0,0.0633845329284668,0.0316922664642334,0.0,0.6613350510597229,0.6017789244651794,0.2035578489303589,-0.00950767993927002,0.06106735467910766,0.6518273711204529,0.7128947377204895,0.7128947257995605,1.1920929021691506e-08,-0.1851000040769577,0.1851000040769577,0.1895500048995018,-0.004450000822544098,0.7128999829292297,-0.3427000045776367,1.0,0.0,1.0,1.0
0.587005615234375,1781764780.1522062,0.0475383996963501,0.0,0.0,0.02376919984817505,0.0,0.6613292694091797,0.6017873287200928,0.20357465744018555,-0.007130759954452514,0.06107239723205566,0.6541985094547271,0.7152709364891052,0.7152709066867828,2.9802322387695312e-08,-0.1835000067949295,0.1835000067949295,0.1895500048995018,-0.006049998104572296,0.7153000235557556,-0.34380000829696655,1.0,0.0,1.0,1.0
0.7005221843719482,1781764780.2657228,0.03565379977226257,0.0,0.029846105724573135,0.017826899886131287,0.0,0.6619054079055786,0.6025788187980652,0.20515763759613037,-0.0053480699658393855,0.06154729127883911,0.6565573379397392,0.7181046009063721,0.7181046292185783,2.8312206246106086e-08,-0.17839999496936798,0.17839999496936798,0.1895500048995018,-0.01115000993013382,0.7181000113487244,-0.3450999855995178,1.0,0.0,1.0,1.0
0.7844192981719971,1781764780.3496199,0.02674034982919693,0.0,0.0,0.013370174914598465,0.0,0.6602397561073303,0.6015405654907227,0.2030811309814453,-0.004011052474379539,0.06092433929443359,0.6562287036329508,0.7171530723571777,0.7171530429273845,2.942979326903128e-08,-0.1776999980211258,0.1776999980211258,0.1895500048995018,-0.011850006878376007,0.717199981212616,-0.34470000863075256,1.0,0.0,1.0,1.0
0.8938236236572266,1781764780.4590242,0.04256407544016838,0.0,0.04256407544016838,0.02128203772008419,0.0,0.6608694791793823,0.6000072956085205,0.20001459121704102,-0.006384611316025257,0.0600043773651123,0.654484867863357,0.714489221572876,0.7144892452284693,2.3655593373028694e-08,-0.17579999566078186,0.17579999566078186,0.1895500048995018,-0.01375000923871994,0.7145000100135803,-0.3434000015258789,1.0,0.0,1.0,1.0
