Speed,Method,Seeds,Num Runs,Task Success,Row-progress,Collision,Follow MAE
0.35,Y-only,"1,2,3",3,0.979 +/- 0.005,0.996 +/- 0.001,0.021 +/- 0.005,0.217 +/- 0.001
0.35,Geom-w,"1,2,3",3,0.969 +/- 0.014,0.992 +/- 0.006,0.031 +/- 0.014,0.171 +/- 0.001
0.35,Risk-only,"1,2,3",3,0.974 +/- 0.012,0.993 +/- 0.005,0.023 +/- 0.008,0.176 +/- 0.003
0.35,Rule-Override,"1,2,3",3,0.646 +/- 0.063,0.821 +/- 0.040,0.346 +/- 0.066,0.164 +/- 0.008
0.35,Learned-w,"1,2,3",3,0.987 +/- 0.009,0.998 +/- 0.001,0.013 +/- 0.009,0.120 +/- 0.000
0.50,Y-only,"1,2,3",3,0.000 +/- 0.000,0.930 +/- 0.012,0.307 +/- 0.064,0.969 +/- 0.035
0.50,Geom-w,"1,2,3",3,0.935 +/- 0.005,0.972 +/- 0.007,0.065 +/- 0.005,0.430 +/- 0.001
0.50,Risk-only,"1,2,3",3,0.982 +/- 0.005,0.992 +/- 0.003,0.016 +/- 0.000,0.438 +/- 0.001
0.50,Rule-Override,"1,2,3",3,0.737 +/- 0.071,0.900 +/- 0.028,0.247 +/- 0.073,0.381 +/- 0.013
0.50,Learned-w,"1,2,3",3,0.992 +/- 0.008,0.999 +/- 0.002,0.008 +/- 0.008,0.355 +/- 0.003
0.60,Y-only,"1,2,3",3,0.000 +/- 0.000,0.794 +/- 0.009,0.714 +/- 0.036,1.133 +/- 0.012
0.60,Geom-w,"1,2,3",3,0.003 +/- 0.005,0.746 +/- 0.018,0.427 +/- 0.084,1.172 +/- 0.015
0.60,Risk-only,"1,2,3",3,0.000 +/- 0.000,0.739 +/- 0.009,0.133 +/- 0.008,1.463 +/- 0.010
0.60,Rule-Override,"1,2,3",3,0.734 +/- 0.055,0.861 +/- 0.027,0.211 +/- 0.048,0.582 +/- 0.019
0.60,Learned-w,"1,2,3",3,0.953 +/- 0.028,0.985 +/- 0.008,0.039 +/- 0.027,0.623 +/- 0.004
