run_id,method,speed,seed,source,row_count,episode_count,field_ok,missing_fields,trajectory_frame,layout_count,layout_sides,success,collision,target_lost,timeout,follow_lost,unknown
2c4209b107,geomw,0.50,1,agents/eval_data/s_0.5/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260527_152600/timeseries.csv,11501,0,0,"trajectory_frame,robot_x,robot_y,target_x,target_y,obstacles_json,episode_termination_reason",,0,,0,0,0,0,0,0
4d5484a76d,learnedw,0.50,1,agents/eval_data/s_0.5/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed1_20260527_153821/timeseries.csv,11411,0,0,"trajectory_frame,robot_x,robot_y,target_x,target_y,obstacles_json,episode_termination_reason",,0,,0,0,0,0,0,0
5eb515d4bf,yonly,0.50,1,agents/eval_data/s_0.5/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260527_154556/timeseries.csv,16536,0,0,"trajectory_frame,robot_x,robot_y,target_x,target_y,obstacles_json,episode_termination_reason",,0,,0,0,0,0,0,0
76326cae65,geomw,0.60,1,agents/eval_data/s_0.6/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260526_204407/timeseries.csv,13197,0,0,"trajectory_frame,robot_x,robot_y,target_x,target_y,obstacles_json,episode_termination_reason",,0,,0,0,0,0,0,0
959cfea138,learnedw,0.60,1,agents/eval_data/s_0.6/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed1_20260526_204857/timeseries.csv,11127,0,0,"trajectory_frame,robot_x,robot_y,target_x,target_y,obstacles_json,episode_termination_reason",,0,,0,0,0,0,0,0
5175592e55,yonly,0.60,1,agents/eval_data/s_0.6/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260526_204747/timeseries.csv,10870,0,0,"trajectory_frame,robot_x,robot_y,target_x,target_y,obstacles_json,episode_termination_reason",,0,,0,0,0,0,0,0
